Policy ID;Component;Centre;Platform;Component;Centre;Platform;Version;enabled;Policy Identifier (FileType);Regular Expression (regex);installation_node;src_user;src_host;src_path;src_Protocol;dst_user;dst_host;dst_path;dst_protocol;suffix/prefix
27;SRA_MMDS;MARINE;VAL;DI_INBOX;MARINE;REF;01.00;YES;S3B_SRA_GSUNAV;^S3B.*_SRA_GSUNAV.*$;s3-refpwas01-prd.eumetsat.int;s3pdgs;s3-refsims02-prd.eumetsat.int;/in/fromSRA/S3B;FTP;s3sysadm;s3-refpwas01-prd.eumetsat.int;/data_PWA/di-s3/prod-inbox;FS;
28;PD_OUTBOX;MARINE;REF;MPMF;MARINE;SIM;01.00;YES;SRA_GSUNAV;^S3.*SRA_GSUNAV.*$;s3-refpwas01-prd.eumetsat.int;s3sysadm;s3-refpwas01-prd.eumetsat.int;/data_PWA/pd-s3/outbox;FS;ops3pdgs;s3-refsims02-prd.eumetsat.int;/data/fromPD;FTP;
29;PD_OUTBOX;MARINE;REF;MPMF ;MARINE;OPE;01.00;YES;SRA_GSUNAV;^S3.*SRA_GSUNAV.*$;s3-refpwas01-prd.eumetsat.int;s3sysadm;s3-refpwas01-prd.eumetsat.int;/data_PWA/pd-s3/outbox;FS;ops3pdgs;s3-mpminfs01-prd.eumetsat.int;/data/fromPD;FTP;
30;PD_OUTBOX;MARINE;REF;MPMF;MARINE;SIM;01.00;YES;SRA_BANSEG;^S3.*_SRA_BANSEG.*$;s3-refpwas01-prd.eumetsat.int;s3sysadm;s3-refpwas01-prd.eumetsat.int;/data_PWA/pd-s3/outbox;FS;ops3pdgs;s3-refsims02-prd.eumetsat.int;/data/fromPD;FTP;
31;PD_OUTBOX;MARINE;REF;MPMF ;MARINE;OPE;01.00;YES;SRA_BANSEG;^S3.*_SRA_BANSEG.*$;s3-refpwas01-prd.eumetsat.int;s3sysadm;s3-refpwas01-prd.eumetsat.int;/data_PWA/pd-s3/outbox;FS;ops3pdgs;s3-mpminfs01-prd.eumetsat.int;/data/fromPD;FTP;
32;PD_OUTBOX;MARINE;REF;MPF;MARINE;REF;01.00;YES;SRA_BANSEG;^S3.*_SRA_BANSEG.*$;s3-refpwas01-prd.eumetsat.int;s3sysadm;s3-refpwas01-prd.eumetsat.int;/data_PWA/pd-s3/outbox;FS;s3mpfuser;s3-refmpfs01-prd.eumetsat.int;/home/s3mpfuser/data/inputs;FTP;
33;PD_OUTBOX;MARINE;REF;MPF;MARINE;REF;01.00;YES;SRA_GSUNAV;^S3.*SRA_GSUNAV.*$;s3-refpwas01-prd.eumetsat.int;s3sysadm;s3-refpwas01-prd.eumetsat.int;/data_PWA/pd-s3/outbox;FS;s3mpfuser;s3-refmpfs01-prd.eumetsat.int;/home/s3mpfuser/data/inputs;FTP;
34;PD_OUTBOX;MARINE;REF;MPMF ;MARINE;OPE;01.00;YES;ORBEVT_PDGS;^S3.*MPL_ORBEVT.*$;s3-refpwas01-prd.eumetsat.int;s3sysadm;s3-refpwas01-prd.eumetsat.int;/data_PWA/pd-s3/outbox;FS;ops3pdgs;s3-mpminfs01-prd.eumetsat.int;/data/fromPD;FTP;
35;PD_OUTBOX;MARINE;REF;MPF;MARINE;REF;01.00;NO;ORBEVT_PDGS;^S3.*MPL_ORBEVT.*$;s3-refpwas01-prd.eumetsat.int;s3sysadm;s3-refpwas01-prd.eumetsat.int;/data_PWA/pd-s3/outbox;FS;s3mpfuser;s3-refmpfs01-prd.eumetsat.int;/home/s3mpfuser/data/inputs;FTP;
36;PD_OUTBOX;MARINE;REF;MPMF ;MARINE;OPE;01.00;YES;MPL__NPIF;^S3.*_MPL__NPIF_.*$;s3-refpwas01-prd.eumetsat.int;s3sysadm;s3-refpwas01-prd.eumetsat.int;/data_PWA/pd-s3/outbox;FS;ops3pdgs;s3-mpminfs01-prd.eumetsat.int;/data/fromPD;FTP;
